Class,Precision,Recall,f1score,support,fold #
0.0,0.56,0.71,0.63,7.0,1.0
1.0,0.78,0.58,0.67,12.0,1.0
2.0,0.83,1.0,0.91,5.0,1.0
0.0,0.67,0.89,0.76,9.0,2.0
1.0,0.83,0.5,0.62,10.0,2.0
2.0,0.83,1.0,0.91,5.0,2.0
0.0,0.62,0.83,0.71,6.0,3.0
1.0,0.67,0.57,0.62,7.0,3.0
2.0,1.0,0.91,0.95,11.0,3.0
0.0,0.5,0.5,0.5,6.0,4.0
1.0,0.55,0.55,0.55,11.0,4.0
2.0,0.71,0.71,0.71,7.0,4.0
0.0,0.62,0.71,0.67,7.0,5.0
1.0,0.6,0.38,0.46,8.0,5.0
2.0,0.82,1.0,0.9,9.0,5.0
0.0,0.78,0.88,0.82,8.0,6.0
1.0,0.71,0.62,0.67,8.0,6.0
2.0,0.88,0.88,0.88,8.0,6.0
0.0,0.67,0.57,0.62,7.0,7.0
1.0,0.62,0.62,0.62,8.0,7.0
2.0,0.7,0.78,0.74,9.0,7.0
0.0,1.0,0.75,0.86,8.0,8.0
1.0,0.7,0.88,0.78,8.0,8.0
2.0,0.75,0.75,0.75,8.0,8.0
0.0,0.71,0.62,0.67,8.0,9.0
1.0,0.4,0.4,0.4,5.0,9.0
2.0,0.92,1.0,0.96,11.0,9.0
0.0,0.88,0.64,0.74,11.0,10.0
1.0,0.6,0.86,0.71,7.0,10.0
2.0,1.0,1.0,1.0,6.0,10.0
